,0,1,2,3,4,5
0,0.0,,,,,
1,1530.0,0.0,,,,
2,1346.0,460.0,0.0,,,
3,1161.0,705.0,1058.0,0.0,,
4,1344.0,469.0,705.0,657.0,0.0,
5,1068.0,745.0,1098.0,372.0,703.0,0.0
