interest,name,rating,photo_ref,place_types,y,x,id,transit_time,day_plan
park,Park Plaza Hotels Europe,5.0,,,4.8723783,52.3378157,ChIJG9cJuQUKxkcREXSKemxJiLA,1362,0
park,Science Park,4.9,CmRaAAAA81QkywplOynSyMrVfoX32f6x6QlqZatjPvR2TPlcaP-qWa3IJFizy2i532EJncU1hbLDK70INd07bQp_uE8BjiZjrru8AZw44CtSBB2KXdh4vrwoZI1dO348ZO3NEZkXEhAWE2_g17owjWHykqVQeHkdGhQompo0DMPlpfqVqGiYM6jxoyVvEA,university,4.9540186,52.3553427,ChIJfRjQ7EQJxkcRhUk-uSK84Lo,1496,1
museum,Rijksmuseum,4.6,CmRaAAAAJsWOfo7iwBFzjrDi7FYiOcnhTlNpoUeo-dlGQ28IpDz4eGhyHW5nuXYYrGWrxZ9Rf2m9VwBOYXCkch4sYOf0FOhxHS44d1sXWAcK573mY_CJZgBjS4ofYzUc957c08jLEhDKRAR0rIaGHMDCNdFQs-W3GhSWv9fjvkpyCqI6bDmozFasGVhuYA,museum,4.8852188,52.3599976,ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,925,2
museum,Museum Of The Canals,4.6,CmRaAAAAJnx-bEcPBMxAhg9tJQwcrOygmu0aRmtvcJh-bj9-ElEC2ceI4CVGrVQmdSC-DAB2UUH4-ygmCQtDSGpLlPKa3zv-vp0pD2BurzkpEPMPOZbww2bHjFxYjMq-46TVDjDUEhBR7oe8spOLjk1N4jzyyL4iGhQcfav63byi9p7JutTavJSXEgIixQ,museum,4.8862893,52.3678867,ChIJW8b8bMIJxkcRtnoNhM4DvOY,617,2
park,Vondelpark,4.6,CmRaAAAAI6p_JrAN4whMjsSbGhLfIdpbQHdQj7PTYp2n9YNwkGAWqnVGf00ggAnBR-ezPiMza8vmIKlRFmC0h8QoQy8gLTJRLt9u86KuE1-hvm6cWyz3eNHFjRQmo0Bc-KZYIjhJEhABWrZy1JC_Fr9VuMnINUCLGhRaYTJMFh96hHroNLyXzOLm1QwADw,park,4.8686484,52.3579946,ChIJz3y0xeIJxkcRNcogBVV41Gw,1359,3
museum,Van Gogh Museum,4.5,CmRaAAAAyJu1RBkBySAph1bsalOhRtkAwH9_1bV43aiyeemzgaT6t5GDWA356E5L6u553p0dAWiggC9-WGjmSCQAq6ZZsGvQ6HJYwxeJYxQAM8b4cU46n9K_YxgIIV2NZ313swZMEhA1_IDOASvG-zMDpTS_o1a7GhS2oTHM6cp_sg9w-AAdh4T4r4z3FQ,museum,4.8810756,52.3584159,ChIJX1rTlu8JxkcRGsV8-a4oKMI,1072,3
museum,Ons' Lieve Heer op Solder,4.5,CmRaAAAAlfZRPimP5S_1dzREHfX6hqo6-YRtP_i3P374jUlrA54MLJYEMq2ZB5DXinH5b5M7uZ0SBH1xoGlKgu2Mm3eln5Dra14BQQVv7IipF7S06AXbUZ-aQ8ldvSQz-WYS-zupEhAXIU4k1CJOUHeGx2RrQhsbGhRc205duIQFF_4HLgSa6MC5vRGwTA,museum,4.8994747,52.3751334,ChIJU-1ArbkJxkcR_EdFqWrlInA,478,0
park,Beatrixpark,4.5,CmRaAAAAsCh7zmmaITnSgErq8LJhsW09uL5l_mYwanJfh4QhhWRWLlzBrNHri47LT7XiCnpLQ3pTQ_4-OAPTanDsyYpGXVL6OUFiC4ePdstbGrzDjGNmE9imh-VNpzIiWdtHLknYEhAHYBN0g1iZB2JiPRq8JirpGhQzV1F0pERPTRHGg0Yfe4-E1oi1SA,park,4.8804617,52.342989,ChIJZX1IThwKxkcRCE88Y-y9Y-o,1622,2
museum,Amsterdam Maritime History Museum,4.4,CmRaAAAA2hTALDOfc8hWwWFSNRwFCzciGK14zH6mjRr2so4kTHdWCzejP-Knnxw0p1KVXJTkGzyGoF0RhzglaAjpQhgYS4eWy8s-HtoHHb_vLTJKpMpDAaFMm9QZbrBkGjRppL2EEhCzbsW8e_UNpMjekvfY20XVGhTd9IoHuRsVepu7Ogx5dr-2OdGFqw,museum,4.9148797,52.3717084,ChIJX-2rTqEJxkcRhjlIZp4bqFk,965,1
