,0,1,2,3,4,5,6,7,8
0,0.0,,,,,,,,
1,495.0,0.0,,,,,,,
2,807.0,657.0,0.0,,,,,,
3,1062.0,913.0,225.0,0.0,,,,,
4,519.0,372.0,703.0,967.0,0.0,,,,
5,1361.0,1231.0,858.0,838.0,1252.0,0.0,,,
6,1972.0,1626.0,1334.0,1297.0,1925.0,729.0,0.0,,
7,870.0,731.0,425.0,565.0,761.0,739.0,1103.0,0.0,
8,889.0,759.0,386.0,442.0,780.0,536.0,1180.0,439.0,0.0
