,0,1,2,3,4,5,6,7,8,9,10
0,0.0,,,,,,,,,,
1,595.0,0.0,,,,,,,,,
2,442.0,691.0,0.0,,,,,,,,
3,157.0,440.0,500.0,0.0,,,,,,,
4,539.0,758.0,934.0,527.0,0.0,,,,,,
5,622.0,267.0,596.0,467.0,997.0,0.0,,,,,
6,1313.0,1243.0,1005.0,1603.0,1740.0,1021.0,0.0,,,,
7,109.0,526.0,549.0,97.0,450.0,498.0,1165.0,0.0,,,
8,308.0,357.0,453.0,147.0,680.0,329.0,1033.0,248.0,0.0,,
9,1195.0,480.0,1616.0,1139.0,1117.0,812.0,1036.0,1193.0,1054.0,0.0,
10,1157.0,1215.0,1522.0,1145.0,904.0,1004.0,2197.0,1069.0,1171.0,1628.0,0.0
