name,y,x,place_types,id,rating,photo_ref,transit_time
Natur-Park Schöneberger Südgelände,13.3594487,52.4631114,park,ChIJ1Z88_QhQqEcRnKDiC6q65KQ,4.5,CmRaAAAAwUvICSqkXq30TkeDe9Q2p6j4ttXp-cQcS8jf1FoexO37HawV_EU-WtE5JuArx_3VBseaLkr3whZoQ6UJy0tEKDjcOAuiSkc9Nu5sJ90eQS0G-BuGBOs67fqKcsrQSqplEhD7UCmIt5Zg5sMaRDTZO3miGhT7zIawH3YSyrhNf-RPCrSG-VvX4w,1713
Schönower Heide,13.5107137,52.6913274,park,ChIJ9cd3uhayqUcRMLfC2Uk0baQ,4.5,CmRaAAAAjb5G6rK5zr56YKQOTgvygYXi0jx8ce0zzhYoTB6_TsSiDNNbTzuzyJ4wVVgpwcF_DuXKmIdJQz9ni4CHsRJFaqaLNn8VbGCH3d9YMMWlANEf2PamiDgACwS9pbKsvNPREhBwBbml9Ed3LG4vS5UDKAucGhTX5F3Su3XoEq7qkGoOjEwxHDYcPQ,4868
Barnim Nature Park,13.6678032,52.7337696,park|travel_agency,ChIJT8auBhuxqUcR8LJrNBwLg4A,4.4,CmRaAAAAWlkoOqqRXZU2T0sAcCNhXWmbTlzIHXqzfLyddxlStg1LUdGCkr4rtqr9kpRgGQvhiXFAHwuKovLtMOTfsZpYFWwlMKm5NzWVbsO0NEwBv2q-ezNPJJLwrC2Fxi1HPjJCEhAVHmAMRECXa8FZ0Y9G6iWyGhQPDHdNJBjmFBesJbm0D1zICSNXwg,5667
