,0,1,2,3,4,5,6
0,0.0,,,,,,
1,595.0,0.0,,,,,
2,442.0,691.0,0.0,,,,
3,157.0,440.0,500.0,0.0,,,
4,599.0,758.0,934.0,527.0,0.0,,
5,622.0,267.0,596.0,467.0,997.0,0.0,
6,109.0,526.0,549.0,97.0,450.0,498.0,0.0
