interest,name,rating,photo_ref,place_types,y,x,id,transit_time,day_plan
museum,Ramones Museum,4.6,CmRaAAAAFGCrDuJjVEsgX5IO5OUJeq9RMJ1mYetMiJ5iXrNMPyLudF3l1R1Td2xZZNopfM6MyeFhrsceub8qM-rBxc4iN1O-x61-gVQ5wK8K7onc8QNtKIhZfQFVF1TjWLpty53SEhA262nudqGLa5NF2Kre4rO2GhQ_4Xxsr6lfzuoD-UukUbA2IG0S0g,food|museum|cafe|bar,13.44324,52.50124,ChIJY28fU-ZRqEcRRA1cS-e-3qY,1360,0
museum,Museum at the Kulturbrauerei,4.6,CmRaAAAA-xvDgAi6a9xct5P3PWsDxBpR4zvlotl1RSsjQ6KT0xIOru4njaDi_-dp8-hntNh6BeprVy_BusWN8tUa1zFCiF8P2ki7zb-i8ayB3fkdrVOZuGK5Jzfb11m2afRn20PPEhCtPDAAMdY7VtBS2UOV_mcNGhSrx6PQGf2raWGc0u-KSXs688bigg,museum,13.4139838,52.5403789,ChIJ74Sex_9RqEcRrg4jC_emII0,1045,1
museum,German Museum of Technology,4.6,CmRaAAAAxqg_K-pFKKLirfIN3YoHGWCAHXPyzVzNXd0ICJmUXnRwjrRHhdh-bIAKoGlV9ZJ3zqDPPvN6SaGPUdw5Fs0neqasmcvWcfXOPMBgh7z21Zr-PMiLcxcdBXJQSRkfEPhgEhC5VPnRFsH_C_Z7JkO_hEoEGhR_Y-0RGXi2N0jPrUiVgMc8CeXMrQ,museum,13.3778846,52.4986982,ChIJuyVqNDJQqEcReGoSmZuRNUQ,1571,2
park,Großer Tiergarten,4.6,CmRaAAAAt8ogLPK4gF6Mtt1k0UWTjbcla7LdnrelDktvUvkylhuajIn_1QEAfi2OgaZ3hEs9VzYpIiadeUoV4OYnknPDLc4LYKtRdzCFBlViYumG7vJ3vBmrjdwJK6RXc728ik6yEhC4WDgYRWBUqUHUOUK-vowXGhR4GvgZwmyt1a6unrYaGqo0aFEGrg,park,13.3591634,52.5141516,ChIJ4dHdSq5RqEcReqvQ3PGSw4M,1317,3
park,Treptower Park,4.6,CmRaAAAAg4QOzmGznFL_Kv8BAJu6h6jrDc74sOgKuyzJ6mtXswaVpU1WVVUaw284TD3ZXpamPaa-i2h3XYmUJQLt-jnBRm20fftpccoTvlY8O7tLbwk0wl4ydj4oLeeq-_Vrc-m_EhCT3kgY4IURhNNZWD1X8qFaGhTSuOuSlOjP_jY4O-9HZzK9G0_3wA,park,13.4697445,52.4884599,ChIJWVbXxhhPqEcR3OZE5GXI9I4,2554,0
museum,Alte Nationalgalerie,4.5,CmRaAAAAKl39U1DMJVkxgRKLHdcli1avEeuYPlXBWfQ0Tmkzmq-gE5cJEHUSNaV949MQ--RXtzfLBkmuD3UnUpEUfLBjikL-4sIzfJYs4USZpkZ3eYoDhgBaK-RbVi2sdN9FRxE-EhB3AI4p9ooA7cjgUiyCvwllGhRnozPERXY2mwEJ1228y-yhUDn3Zw,museum,13.3983529,52.5208104,ChIJM28dat1RqEcRC0AVNUpwAuk,487,3
museum,MeMu,4.5,CmRaAAAAK1p1UxD-Uuum1Q1A0WN2zqOkwPBfrkSV-6cnncugDEhJ7-rCgt-VRrA4q5VX5ZERRJwiaPjseR0sEBnFknhRJaO36-CueHUyIANIc_Ilnob9l8lyBA7kUDWXVxuwKIQqEhCDpuCQ-tBj1NFreSudHOlnGhRRwsl2ey4W4r9hZw9pOMLwVQ7kOw,museum,13.4089745,52.5205999,ChIJdTjciR9OqEcRUqH4IwUnsBo,235,1
park,Park at Gleisdreieck,4.5,CmRaAAAAEsd17QxHNA6GOO4qDikpbTkcmualWB9CtPyr_-A1dahKpRo_rIkdhIOEOm-H_C6APWJcv6OGmlvenqUMPRPFlw0AeKdWGbThb-A_OxOy-Cc76fjh8OMSMD24elPS7LYGEhAf16MklN560ee4mD1KS06UGhR9_QRcL5i40aysciM-iyn8JFeirA,park,13.3759081,52.4940269,ChIJe8FmEzBQqEcRth79TMVowwU,1834,2
park,Rudolph-Wilde Park,4.5,CmRaAAAAx96pd6m9vTaJckmP9zWR5D9le70bAOphV-FngsmCaDYKg4DGbevnd-dY06QodBD1HBSLlwQYHKCitPVyBoHyemJJ97g0Mmgp0wOOJTFzxANlOmjXoIA-NOvt1g_RkwIFEhBst2bbyNVR1L_qEmOtkaTBGhRED_eCDWeoQpyIu49UvIUSZ0pZfg,park,13.3411489,52.4828472,ChIJ1deWK2ZQqEcR7iiuf3wwW4o,2251,1
