,0,1,2,3,4,5,6
0,0.0,,,,,,
1,593.0,0.0,,,,,
2,372.0,724.0,0.0,,,,
3,1147.0,875.0,1288.0,0.0,,,
4,1626.0,1334.0,2079.0,729.0,0.0,,
5,918.0,732.0,952.0,635.0,1398.0,0.0,
6,1748.0,1459.0,1889.0,899.0,446.0,1513.0,0.0
