,0,1,2,3,4,5,6
0,0.0,,,,,,
1,1191.0,0.0,,,,,
2,1901.0,1654.0,0.0,,,,
3,1515.0,1009.0,1103.0,0.0,,,
4,1828.0,895.0,1354.0,1067.0,0.0,,
5,2576.0,2262.0,2972.0,1580.0,775.0,0.0,
6,961.0,826.0,1755.0,928.0,1155.0,2071.0,0.0
