,interest,name,rating,photo_ref,place_types,y,x,id,transit_time
0,museum,Museum Air France,4.8,CmRaAAAAx38Vv-KxhlREWTOJBam3-36blvBu_a39_FxniwlIEyO04ccend7xh4rqGWXFQ8Jl-NtBoRJJXtvg9TYb-3otuUW8ZjDkSzKpiziWkLGxqdEPeipfnBKaGibRhXmynEv0EhCnpaDWJNm1Wh0K1BNZti59GhS_VaOWOQsSxumj_A9MxYgc3oUohg,museum,2.3147536,48.8624893,ChIJ_WcgK9Fv5kcR1B5EkLqQoJg,1124
1,shopping,babyGap,4.8,CmRaAAAAHKm-EQpq5jJ9BK4BT3Cewj2OiwrjPE9W0k2K0pV2cUmdhg4NTWJDf9lseU-1xlkfsWfbvVBa-aukoyi7tAHda8VOMKdPEDd2pEDK6Dfj126iRqMOe5v8u0EQoXYJ1ioIEhCWJNGvLRhpoPuYY-koxgJvGhQFfw2uauMO1MRLDEvaZZT3s6uMqQ,clothing_store|store,2.3478312,48.8589551,ChIJ-QIn-B5u5kcR2DmIfT5FgmA,396
2,museum,Musée d'Orsay,4.7,CmRaAAAA0FL5e7TVwcMzkfviWPqfpbur1hIZvUPOEpJ9QjpF7u9LTeCeu3fawdZpCBp8d6DUWx2kegaAAfsX3o-tIkO0gEZP_ZyXPyHW96Wbj-m0GGeHMF8g_7ucHdgr9isukJWVEhAZNjRBB-dkG9mimdaZskELGhQBgZL_NIu0PmHd-IKfLXDBp8WRFw,museum,2.3265614,48.8599614,ChIJG5Qwtitu5kcR2CNEsYy9cdA,771
3,museum,Louvre Museum,4.7,CmRaAAAAVRyuw3ks_1R1Il1w0IzYTzT_-_5CQL1EbBeG-VUR5M7j3l-MninQSLnXixc6gp2CGJ8LBbyBwXbM-AIv95ylkcuEKlmWYuj1iA_dyvMTAeQW83V6h3xf74Zl93JurOVBEhAipDYJMi3PB7o0WGlFghNGGhQ3TjNSoh77-QMKX8RBnbID2J5Vkw,museum,2.337644,48.8606111,ChIJD3uTd9hx5kcR1IQvGfr8dbk,644
