interest,name,rating,photo_ref,place_types,y,x,id,transit_time,day_plan
park,Park Plaza Hotels Europe,5.0,,,4.8723783,52.3378157,ChIJG9cJuQUKxkcREXSKemxJiLA,1362,0
shopping,Dolce&Gabbana,5.0,CmRaAAAAxZdtMwp16h5gvzQy3olkeTLisu9KDkw0sb_T-TVlMR7A1q6NVM7rnLeZFusuTdDeSWceTMxvGdSSw0bd8lplTqLqHrfMRhIf2BFd_LT-bRcDnmRK73f8TqoDOY1OGWPlEhDtkZsDR-XoNfpUV1Eh6hUxGhQhPB45hB7iDvLYf2aEuYGRc7raTQ,clothing_store|store,4.8786643,52.3598899,ChIJ4fZ3Yr8JxkcRF6bLqoSrFgo,1185,1
park,Science Park,4.9,CmRaAAAAEqMHpmfwLztVw0niYyb3Y1pW25TqH0PZ7QlJTMlmgI5tymUghyX4AM-u8GaUs-abwq-ptOO_tCbjQUIR46BRXHeA-v-WDKpSwFwIdV0zz8hWwhd6rOrB12FOiIfBFLnaEhDnGkBqd0cOfxiu1FWteg-8GhQX1QIhuX7ZWpx76rJHGtS7kcz6QQ,university,4.9540186,52.3553427,ChIJfRjQ7EQJxkcRhUk-uSK84Lo,1556,0
museum,Rijksmuseum,4.6,CmRaAAAAKw96OQ3rT6T5qQ6kfKi321kJaUB3cymZ_4_dyH8UJKcHXorwgY8LNiBxCPtUFCs2LzLsrXGa-Znx0brefxUhXS-f-mVRPFGw_7hA5hJ3Jx9YoyPct3C2AeObYUZDpQ4aEhDksuK9wLNp1gyLIPTDMIZJGhSixJbkLTRPiJnXP_ezOjOl5so9Dw,museum,4.8852188,52.3599976,ChIJ5Ra7we4JxkcRhYVAaq5zQ9U,925,1
museum,Museum Of The Canals,4.6,CmRaAAAAGHFtBZoY03nvlyYrV3CUtkoGyITVZ50i0etW9yyk__BE6YgZfbLWUceA0VbNXSytbqZ61-XAUssceUPR12p3bXEFN6YPOqPf9nZ-tZr_7sbn2ZXVnB4swmGQC_eB174DEhA7RAAFLOD8EyWOzCe0lmEJGhRaKFJYHmL3mhjKVCH-P69-CpBsAg,museum,4.8862893,52.3678867,ChIJW8b8bMIJxkcRtnoNhM4DvOY,617,2
park,Vondelpark,4.6,CmRaAAAA_7Of1ktirf3ORD3HWCJy-IgtbQ6f8PQetK_7umF0_wAkUV460TXHPGBqPySAiMQWFgYTGxMwcA2VnaeQUPohgIMpl-AGa27lO7H0248-H-1KolmKdZEiYQeU9zIb4iFiEhBpBs1QFgUCJSQVRX7VeRz9GhR36uPDenBemwysBiT3C4oXa_VxlQ,park,4.8686484,52.3579946,ChIJz3y0xeIJxkcRNcogBVV41Gw,1384,3
shopping,Lee,4.6,CmRaAAAA8iekuPVssWY2N03_49rRsLegFmxNsCx0CLRYYidkp2SSlOH1XvS4ESm-4IEMEcNaUR1o4IXQjCksbUtjFhONbnIAN3U96nVaFyVAQMwoWMx9z8r0x8DAtFWAyyaadhePEhCEsRGcDWjxmywfa4ZualsqGhSVrdPlMBnhb8OJ0_4RTnFwgIWL_Q,clothing_store|store,4.8861521,52.3703939,ChIJe4nAsMMJxkcRKI2sQPU0msk,506,2
museum,Van Gogh Museum,4.5,CmRaAAAAc_tASlVOrDuArt_QP8VDpy6lsHV3oMBVfte9xF4GXWhn5RRm_BTfpS5ZdY7DzKkRlv58YuhuQAdj_Zg4hj8Ad-OCuDgZU1VuFQHP0mgGu3yFQyubq1J3gqByOWxVgHw4EhDXbnkcA7mA8mnhAkrvisfXGhR1hpkRtsbgvVywwXVVeqoOUO1bnA,museum,4.8810756,52.3584159,ChIJX1rTlu8JxkcRGsV8-a4oKMI,1072,3
